Type of experience;Incident Type;Who was affected;Place;Person/Group who committed incident;Date
saw;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;at Hillel or Chabad;a campus club or organization.;2024-10-20 11:09:20
experienced;faculty conduct;me.;—;—;2024-10-20 11:19:17
saw;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;on the quad;a campus club or organization.;2024-10-20 11:28:27
heard;speech/rhetoric;Israel.;in a classroom;a professor.;2024-10-20 11:44:30
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-20 11:53:43
experienced;speech/rhetoric;Jewish students.;off campus;—;2024-10-20 11:59:44
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-10-20 12:01:36
heard;something else;me.;in my dorm;someone from off campus.;2024-10-20 12:11:50
saw;speech/rhetoric;Israel.;on the quad;a student.;2024-10-20 12:22:25
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-10-20 12:22:44
saw;faculty conduct;the Israeli government.;in a classroom;a professor.;2024-10-20 12:23:58
saw;faculty conduct;Israel.;in a classroom;a professor.;2024-10-20 12:24:49
experienced;speech/rhetoric;me.;on the quad;a student.;2024-10-20 12:49:23
experienced;property damage;Jewish students.;off campus;someone from off campus.;2024-10-20 13:13:29
saw;property damage;Israel.;on the quad;i’m not sure/unknown.;2024-10-20 13:22:07
saw;something else;faculty, staff, or administrators.;on the quad;i’m not sure/unknown.;2024-10-20 13:23:10
heard;speech/rhetoric;Jews or the Jewish community.;in my dorm;a student.;2024-10-20 13:23:12
heard;speech/rhetoric;Jews or the Jewish community.;off campus;a student.;2024-10-20 13:25:03
experienced;speech/rhetoric;Jews or the Jewish community.;online;a student.;2024-10-20 13:54:24
saw;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;on the quad;a campus club or organization.;2024-10-20 14:27:45
heard;speech/rhetoric;the Israeli government.;in a classroom;a professor.;2024-10-20 14:30:11
saw;speech/rhetoric;Israel.;at a student club;a campus club or organization.;2024-10-20 14:47:52
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-20 14:55:11
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a student.;2024-10-20 15:06:34
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-20 16:20:39
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2024-10-20 16:21:23
felt;speech/rhetoric;Israel.;off campus;someone from off campus.;2024-10-20 16:21:48
heard;speech/rhetoric;Israel.;off campus;a professor.;2024-10-20 16:51:03
felt;graffiti;Jewish students.;on the quad;—;2024-10-20 17:30:08
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-20 17:48:50
experienced;speech/rhetoric;Israel.;in a classroom;a professor.;2024-10-20 17:50:08
experienced;physical assault;Israel.;in my dorm;i’m not sure/unknown.;2024-10-20 17:51:58
saw;speech/rhetoric;the Israeli government.;on the quad;a campus club or organization.;2024-10-20 18:13:48
experienced;speech/rhetoric;Jews or the Jewish community.;off campus;a student.;2024-10-20 18:20:16
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-10-20 19:52:39
saw;call for BDS (Boycott, Divestment, Sanctions);me.;online;someone online.;2024-10-20 21:30:34
experienced;speech/rhetoric;me.;in a classroom;a student.;2024-10-21 03:12:15
felt;graffiti;me.;off campus;i’m not sure/unknown.;2024-10-21 05:53:21
heard;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-10-21 06:58:12
saw;speech/rhetoric;the Israeli government.;at Hillel or Chabad;a student.;2024-10-21 07:36:51
heard;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;in my dorm;a professor.;2024-10-21 07:50:28
felt;speech/rhetoric;Jewish students.;at my fraternity or sorority;a campus club or organization.;2024-10-21 09:17:32
experienced;speech/rhetoric;Jewish students.;in my dorm;a campus club or organization.;2024-10-21 09:18:07
experienced;physical assault;Jewish students.;at Hillel or Chabad;a student.;2024-10-21 09:18:24
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;at Hillel or Chabad;a campus club or organization.;2024-10-21 09:18:48
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a professor.;2024-10-21 09:26:23
experienced;speech/rhetoric;me.;on the quad;a student.;2024-10-21 09:31:51
experienced;physical assault;Jewish students.;in a classroom;a student.;2024-10-21 09:33:22
experienced;physical assault;faculty, staff, or administrators.;online;a professor.;2024-10-21 09:57:50
experienced;speech/rhetoric;Jews or the Jewish community.;at my fraternity or sorority;a student.;2024-10-21 09:58:34
experienced;faculty conduct;Jewish students.;on the quad;a professor.;2024-10-21 10:48:44
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-10-21 11:04:59
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-21 11:13:27
experienced;physical assault;Jewish students.;in my dorm;i’m not sure/unknown.;2024-10-21 11:14:44
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;in my dorm;a student.;2024-10-21 11:15:22
experienced;speech/rhetoric;me.;in my dorm;—;2024-10-21 11:57:52
experienced;speech/rhetoric;me.;online;someone online.;2024-10-21 12:35:33
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-21 12:36:28
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-10-21 12:41:01
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-10-21 13:16:22
experienced;speech/rhetoric;the Israeli government.;in a classroom;a professor.;2024-10-21 13:32:36
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-10-21 15:52:12
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at my fraternity or sorority;a student.;2024-10-21 16:04:36
—;graffiti;—;—;—;2024-10-21 17:22:24
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-21 17:23:28
experienced;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-10-21 20:42:04
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;someone online.;2024-10-21 21:03:21
experienced;speech/rhetoric;Jews or the Jewish community.;online;i’m not sure/unknown.;2024-10-22 03:54:27
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-10-22 05:03:12
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2024-10-22 06:10:41
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-22 06:17:53
—;speech/rhetoric;Jews or the Jewish community.;—;—;2024-10-22 06:18:10
—;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-10-22 06:18:41
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;—;2024-10-22 07:29:47
experienced;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;at a student club;a campus club or organization.;2024-10-22 07:51:55
experienced;faculty conduct;—;in a classroom;a professor.;2024-10-22 07:58:21
heard;speech/rhetoric;me.;on the quad;a student.;2024-10-22 08:04:44
heard;graffiti;Israel.;off campus;i’m not sure/unknown.;2024-10-22 08:59:26
experienced;speech/rhetoric;me.;on the quad;a student.;2024-10-22 10:22:47
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-22 10:27:04
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-22 11:23:01
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-22 11:28:44
saw;speech/rhetoric;Israel.;online;a campus club or organization.;2024-10-22 11:34:26
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-10-22 11:55:36
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-10-22 12:13:31
experienced;speech/rhetoric;me.;on the quad;a student.;2024-10-22 12:40:12
saw;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-10-22 13:28:58
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2024-10-22 14:11:49
heard;faculty conduct;Israel.;in a classroom;a professor.;2024-10-22 14:20:29
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a student.;2024-10-22 15:25:01
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone from off campus.;2024-10-22 16:14:17
experienced;speech/rhetoric;Israel.;in a classroom;a student.;2024-10-22 16:16:34
experienced;speech/rhetoric;me.;in a classroom;a student.;2024-10-22 18:16:21
saw;speech/rhetoric;the Israeli government.;online;someone online.;2024-10-22 19:01:59
heard;speech/rhetoric;the Israeli government.;on the quad;a campus club or organization.;2024-10-22 19:42:07
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-10-22 19:47:17
experienced;physical assault;me.;in my dorm;a professor.;2024-10-22 19:48:05
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a professor.;2024-10-22 20:42:24
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-10-22 20:57:08
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-22 21:45:11
experienced;faculty conduct;Jewish students.;in a classroom;a professor.;2024-10-22 21:48:42
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a campus club or organization.;2024-10-22 21:51:13
experienced;faculty conduct;Israel.;in a classroom;a professor.;2024-10-22 22:21:22
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-10-23 01:22:47
saw;graffiti;Jewish students.;on the quad;i’m not sure/unknown.;2024-10-23 01:23:26
saw;graffiti;Israel.;off campus;i’m not sure/unknown.;2024-10-23 06:11:23
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-10-23 06:33:56
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a student.;2024-10-23 06:36:33
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-23 06:59:01
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-10-23 07:09:27
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-10-23 07:31:58
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;someone from off campus.;2024-10-23 08:00:14
heard;call for BDS (Boycott, Divestment, Sanctions);—;—;—;2024-10-23 08:00:31
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;—;2024-10-23 08:15:52
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;a campus club or organization.;2024-10-23 08:19:58
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-23 08:19:59
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-23 08:20:18
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2024-10-23 08:23:22
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a student.;2024-10-23 09:19:40
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;—;2024-10-23 09:26:37
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-23 09:51:41
saw;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;online;someone online.;2024-10-23 10:16:21
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-10-23 10:21:56
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2024-10-23 10:24:58
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;in my dorm;a student.;2024-10-23 10:25:56
experienced;faculty conduct;Jewish students.;off campus;a professor.;2024-10-23 10:52:31
experienced;something else;me.;in my dorm;a student.;2024-10-23 11:00:21
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a student.;2024-10-23 11:02:51
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-10-23 11:03:17
saw;something else;me.;—;someone from off campus.;2024-10-23 11:03:58
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-23 11:23:54
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a student.;2024-10-23 11:45:01
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-23 12:04:05
heard;speech/rhetoric;Israel.;on the quad;—;2024-10-23 12:32:03
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;off campus;i’m not sure/unknown.;2024-10-23 12:41:16
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-10-23 12:42:04
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-23 12:46:17
saw;speech/rhetoric;Jews or the Jewish community.;on the quad;—;2024-10-23 12:46:37
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2024-10-23 12:53:40
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-10-23 12:57:29
experienced;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2024-10-23 13:02:52
saw;speech/rhetoric;Jewish students.;in my dorm;a student.;2024-10-23 13:09:22
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-10-23 13:18:52
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;off campus;a student.;2024-10-23 13:22:58
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-23 13:32:58
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;—;2024-10-23 13:56:09
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-23 14:19:34
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in my dorm;a student.;2024-10-23 15:10:26
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2024-10-23 15:10:50
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-23 15:42:59
experienced;speech/rhetoric;the Israeli government.;off campus;a student.;2024-10-23 16:00:05
experienced;faculty conduct;the Israeli government.;in a classroom;a professor.;2024-10-23 16:00:22
heard;call for BDS (Boycott, Divestment, Sanctions);me.;in a classroom;a campus club or organization.;2024-10-23 16:32:49
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2024-10-23 17:31:00
heard;speech/rhetoric;the Israeli government.;off campus;a student.;2024-10-23 19:43:32
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a student.;2024-10-23 20:33:56
experienced;speech/rhetoric;me.;off campus;a professor.;2024-10-23 21:14:28
experienced;something else;Israel.;on the quad;a campus club or organization.;2024-10-23 21:22:41
saw;speech/rhetoric;—;online;a student.;2024-10-23 22:11:03
heard;speech/rhetoric;Israel.;at a student club;a student.;2024-10-23 23:16:07
heard;speech/rhetoric;the Israeli government.;at a student club;a student.;2024-10-23 23:16:38
felt;speech/rhetoric;Israel.;in my dorm;a student.;2024-10-23 23:39:36
saw;speech/rhetoric;Israel.;online;—;2024-10-23 23:44:45
experienced;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;off campus;i’m not sure/unknown.;2024-10-24 00:07:02
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-24 00:55:15
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-10-24 01:48:20
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-10-24 03:27:41
heard;speech/rhetoric;Israel.;at my fraternity or sorority;a student.;2024-10-24 03:35:21
experienced;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-10-24 04:59:27
experienced;physical assault;Jews or the Jewish community.;in a classroom;a student.;2024-10-24 04:59:58
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-10-24 05:12:00
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-24 06:38:32
experienced;speech/rhetoric;Jews or the Jewish community.;online;a student.;2024-10-24 07:21:39
heard;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-10-24 09:33:53
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2024-10-24 10:17:17
heard;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-10-24 10:33:43
heard;speech/rhetoric;Jews or the Jewish community.;at Hillel or Chabad;a student.;2024-10-24 10:55:38
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2024-10-24 11:01:04
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2024-10-24 11:05:47
experienced;graffiti;the Israeli government.;off campus;a student.;2024-10-24 11:16:12
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;—;2024-10-24 11:16:56
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;someone online.;2024-10-24 11:20:18
saw;speech/rhetoric;Israel.;off campus;i’m not sure/unknown.;2024-10-24 11:35:08
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-24 11:51:56
heard;speech/rhetoric;the Israeli government.;on the quad;i’m not sure/unknown.;2024-10-24 11:56:11
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;—;i’m not sure/unknown.;2024-10-24 12:11:45
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a campus club or organization.;2024-10-24 12:15:13
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2024-10-24 12:16:32
saw;physical assault;the Israeli government.;in a classroom;i’m not sure/unknown.;2024-10-24 12:38:47
heard;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-10-24 12:39:16
saw;graffiti;the Israeli government.;online;someone online.;2024-10-24 12:46:56
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-10-24 12:47:34
felt;something else;the Israeli government.;online;someone online.;2024-10-24 13:14:31
experienced;speech/rhetoric;Jews or the Jewish community.;on the quad;a student.;2024-10-24 13:19:39
experienced;speech/rhetoric;me.;off campus;someone from off campus.;2024-10-24 13:31:50
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-10-24 13:32:37
experienced;faculty conduct;—;at a student club;a professor.;2024-10-24 16:00:12
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-10-24 16:23:49
heard;something else;the Israeli government.;on the quad;i’m not sure/unknown.;2024-10-24 16:53:49
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-24 17:20:18
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2024-10-24 17:38:00
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-24 18:00:48
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at my fraternity or sorority;a campus club or organization.;2024-10-24 18:35:59
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-10-24 19:06:28
saw;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-10-24 19:43:32
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;someone from off campus.;2024-10-24 19:57:12
experienced;physical assault;me.;in my dorm;a student.;2024-10-24 19:57:33
experienced;speech/rhetoric;me.;in a classroom;a student.;2024-10-24 20:55:51
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-10-24 21:17:10
felt;graffiti;the Israeli government.;on the quad;a campus club or organization.;2024-10-24 22:11:43
felt;graffiti;the Israeli government.;on the quad;i’m not sure/unknown.;2024-10-25 05:25:51
experienced;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-10-25 05:51:27
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2024-10-25 06:26:47
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;—;2024-10-25 07:04:44
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a campus club or organization.;2024-10-25 08:35:38
experienced;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;in my dorm;a student.;2024-10-25 09:09:36
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-10-25 09:12:48
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-25 09:24:37
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-10-25 09:51:11
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-25 10:35:11
felt;speech/rhetoric;Israel.;in a classroom;a student.;2024-10-25 10:53:49
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2024-10-25 10:57:07
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-10-25 11:07:25
experienced;speech/rhetoric;Jews or the Jewish community.;off campus;someone from off campus.;2024-10-25 11:20:37
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2024-10-25 11:39:47
saw;something else;the Israeli government.;on the quad;a campus club or organization.;2024-10-25 12:07:57
heard;graffiti;me.;in a classroom;a campus club or organization.;2024-10-25 12:08:21
experienced;speech/rhetoric;Israel.;at a student club;a campus club or organization.;2024-10-25 12:47:00
saw;something else;Israel.;on the quad;a campus club or organization.;2024-10-25 13:25:58
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a professor.;2024-10-25 13:39:15
felt;speech/rhetoric;the Israeli government.;on the quad;a student.;2024-10-25 13:46:49
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2024-10-25 14:02:13
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;a student.;2024-10-25 14:02:55
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-10-25 14:32:36
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a campus club or organization.;2024-10-25 15:24:49
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-25 15:40:16
experienced;physical assault;Jewish students.;in a classroom;a campus club or organization.;2024-10-25 15:46:29
heard;speech/rhetoric;the Israeli government.;on the quad;i’m not sure/unknown.;2024-10-25 17:51:11
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a campus club or organization.;2024-10-25 17:55:43
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a student.;2024-10-25 18:53:58
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-25 19:43:32
felt;speech/rhetoric;me.;online;—;2024-10-25 19:46:20
experienced;speech/rhetoric;Israel.;online;a student.;2024-10-25 20:15:34
experienced;speech/rhetoric;Israel.;on the quad;a student.;2024-10-25 20:15:47
experienced;speech/rhetoric;Israel.;at a student club;a campus club or organization.;2024-10-25 20:35:08
experienced;graffiti;Jews or the Jewish community.;at my fraternity or sorority;a student.;2024-10-25 20:35:50
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2024-10-25 20:47:43
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2024-10-25 21:34:22
felt;speech/rhetoric;Jews or the Jewish community.;in my dorm;a student.;2024-10-25 21:51:01
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-26 00:00:16
felt;graffiti;the Israeli government.;off campus;i’m not sure/unknown.;2024-10-26 00:20:41
felt;speech/rhetoric;the Israeli government.;at Hillel or Chabad;a campus club or organization.;2024-10-26 00:22:34
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-10-26 00:24:59
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-26 01:43:17
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a campus club or organization.;2024-10-26 01:44:36
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-26 05:53:08
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a campus club or organization.;2024-10-26 07:37:17
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-26 07:42:07
saw;speech/rhetoric;Israel.;off campus;someone from off campus.;2024-10-26 07:46:14
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-10-26 08:24:10
saw;graffiti;Jews or the Jewish community.;in my dorm;i’m not sure/unknown.;2024-10-26 08:43:40
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-26 08:44:43
experienced;something else;me.;off campus;a student.;2024-10-26 09:00:34
experienced;speech/rhetoric;Israel.;in a classroom;a professor.;2024-10-26 09:25:15
experienced;speech/rhetoric;Israel.;online;someone online.;2024-10-26 09:40:48
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-26 09:52:49
experienced;something else;the Israeli government.;off campus;a student.;2024-10-26 10:45:39
experienced;physical assault;Jewish students.;at Hillel or Chabad;a campus club or organization.;2024-10-26 10:46:02
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-10-26 10:46:27
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-26 10:53:50
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;—;2024-10-26 11:18:00
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-26 11:41:20
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-26 11:42:46
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-10-26 12:12:19
heard;speech/rhetoric;Israel.;online;a student.;2024-10-26 13:03:17
experienced;speech/rhetoric;Israel.;in a classroom;i’m not sure/unknown.;2024-10-26 13:12:29
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2024-10-26 13:48:17
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-26 15:55:37
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;—;2024-10-26 15:58:09
